,person_01_0.jpg,person_01_1.jpg,person_02_0.jpg,person_02_1.jpg,person_03_0.jpg,person_03_1.jpg
person_01_0.jpg,0.9999999,0.6959853,0.18717048,0.21203429,-0.050106462,0.08075306
person_01_1.jpg,0.6959853,1.0,0.21656287,0.068450436,0.071475625,0.24758656
person_02_0.jpg,0.18717048,0.21656287,1.0000001,0.6376151,0.2331473,0.083299965
person_02_1.jpg,0.21203429,0.068450436,0.6376151,1.0000001,0.15673359,0.013521668
person_03_0.jpg,-0.050106462,0.071475625,0.2331473,0.15673359,0.99999994,0.79548955
person_03_1.jpg,0.08075306,0.24758656,0.083299965,0.013521668,0.79548955,1.0000002
